rows	columns	distances	method
25x_PHU_Mock	35x_K_Mock	0.112927	vsearch
25x_PL_Mock	35x_K_Mock	0.121183	vsearch
25x_Q5_Mock	35x_K_Mock	0.07569	vsearch
30x_ACC_Mock	35x_K_Mock	0.096249	vsearch
30x_K_Mock	35x_K_Mock	0.086069	vsearch
30x_PHU_Mock	35x_K_Mock	0.129886	vsearch
30x_PL_Mock	35x_K_Mock	0.190236	vsearch
30x_Q5_Mock	35x_K_Mock	0.10363	vsearch
35x_ACC_Mock	35x_K_Mock	0.163154	vsearch
20x_ACC_Mock	35x_PHU_Mock	0.094456	vsearch
20x_K_Mock	35x_PHU_Mock	0.088523	vsearch
20x_PHU_Mock	35x_PHU_Mock	0.095437	vsearch
20x_PL_Mock	35x_PHU_Mock	0.118733	vsearch
20x_Q5_Mock	35x_PHU_Mock	0.086673	vsearch
25x_ACC_Mock	35x_PHU_Mock	0.083113	vsearch
25x_K_Mock	35x_PHU_Mock	0.070706	vsearch
25x_PHU_Mock	35x_PHU_Mock	0.095446	vsearch
25x_PL_Mock	35x_PHU_Mock	0.08781	vsearch
25x_Q5_Mock	35x_PHU_Mock	0.087687	vsearch
30x_ACC_Mock	35x_PHU_Mock	0.076131	vsearch
30x_K_Mock	35x_PHU_Mock	0.082639	vsearch
30x_PHU_Mock	35x_PHU_Mock	0.064781	vsearch
30x_PL_Mock	35x_PHU_Mock	0.10549	vsearch
30x_Q5_Mock	35x_PHU_Mock	0.065866	vsearch
35x_ACC_Mock	35x_PHU_Mock	0.079329	vsearch
35x_K_Mock	35x_PHU_Mock	0.118937	vsearch
20x_ACC_Mock	35x_PL_Mock	0.14505	vsearch
20x_K_Mock	35x_PL_Mock	0.153406	vsearch
20x_PHU_Mock	35x_PL_Mock	0.183991	vsearch
20x_PL_Mock	35x_PL_Mock	0.198709	vsearch
20x_Q5_Mock	35x_PL_Mock	0.181483	vsearch
25x_ACC_Mock	35x_PL_Mock	0.155764	vsearch
25x_K_Mock	35x_PL_Mock	0.150287	vsearch
25x_PHU_Mock	35x_PL_Mock	0.179366	vsearch
25x_PL_Mock	35x_PL_Mock	0.154223	vsearch
25x_Q5_Mock	35x_PL_Mock	0.181261	vsearch
30x_ACC_Mock	35x_PL_Mock	0.155404	vsearch
30x_K_Mock	35x_PL_Mock	0.165109	vsearch
30x_PHU_Mock	35x_PL_Mock	0.12633	vsearch
30x_PL_Mock	35x_PL_Mock	0.116461	vsearch
30x_Q5_Mock	35x_PL_Mock	0.143874	vsearch
35x_ACC_Mock	35x_PL_Mock	0.100839	vsearch
35x_K_Mock	35x_PL_Mock	0.213924	vsearch
35x_PHU_Mock	35x_PL_Mock	0.126524	vsearch
20x_ACC_Mock	35x_Q5_Mock	0.09886	vsearch
20x_K_Mock	35x_Q5_Mock	0.085977	vsearch
20x_PHU_Mock	35x_Q5_Mock	0.123963	vsearch
20x_PL_Mock	35x_Q5_Mock	0.149283	vsearch
20x_Q5_Mock	35x_Q5_Mock	0.105631	vsearch
25x_ACC_Mock	35x_Q5_Mock	0.09902	vsearch
25x_K_Mock	35x_Q5_Mock	0.087746	vsearch
25x_PHU_Mock	35x_Q5_Mock	0.123329	vsearch
25x_PL_Mock	35x_Q5_Mock	0.115389	vsearch
25x_Q5_Mock	35x_Q5_Mock	0.106223	vsearch
30x_ACC_Mock	35x_Q5_Mock	0.093436	vsearch
30x_K_Mock	35x_Q5_Mock	0.103014	vsearch
30x_PHU_Mock	35x_Q5_Mock	0.085487	vsearch
30x_PL_Mock	35x_Q5_Mock	0.125087	vsearch
30x_Q5_Mock	35x_Q5_Mock	0.085424	vsearch
35x_ACC_Mock	35x_Q5_Mock	0.07651	vsearch
35x_K_Mock	35x_Q5_Mock	0.13844	vsearch
35x_PHU_Mock	35x_Q5_Mock	0.076951	vsearch
35x_PL_Mock	35x_Q5_Mock	0.120849	vsearch
