rows	columns	distances
20x_PHU_DA10040	25x_PHU_DA10016	0.68993
20x_PL_DA10001	25x_PHU_DA10016	0.628414
20x_PL_DA10016	25x_PHU_DA10016	0.141926
20x_PL_DA10029	25x_PHU_DA10016	0.54343
20x_PL_DA10040	25x_PHU_DA10016	0.688203
20x_Q5_DA10001	25x_PHU_DA10016	0.629292
20x_Q5_DA10016	25x_PHU_DA10016	0.140958
20x_Q5_DA10029	25x_PHU_DA10016	0.537173
20x_Q5_DA10040	25x_PHU_DA10016	0.691423
25x_ACC_DA10001	25x_PHU_DA10016	0.600615
25x_ACC_DA10016	25x_PHU_DA10016	0.125773
25x_ACC_DA10029	25x_PHU_DA10016	0.495263
25x_ACC_DA10040	25x_PHU_DA10016	0.68621
25x_K_DA10001	25x_PHU_DA10016	0.617437
25x_K_DA10016	25x_PHU_DA10016	0.190734
25x_K_DA10029	25x_PHU_DA10016	0.532397
25x_K_DA10040	25x_PHU_DA10016	0.683441
25x_PHU_DA10001	25x_PHU_DA10016	0.597648
20x_ACC_DA10040	25x_PHU_DA10029	0.444083
20x_K_DA10001	25x_PHU_DA10029	0.463478
20x_K_DA10040	25x_PHU_DA10029	0.432097
20x_PHU_DA10001	25x_PHU_DA10029	0.452172
20x_PHU_DA10016	25x_PHU_DA10029	0.484051
20x_PHU_DA10029	25x_PHU_DA10029	0.145904
20x_PHU_DA10040	25x_PHU_DA10029	0.431654
20x_PL_DA10001	25x_PHU_DA10029	0.470694
20x_PL_DA10016	25x_PHU_DA10029	0.488815
20x_PL_DA10029	25x_PHU_DA10029	0.155585
20x_PL_DA10040	25x_PHU_DA10029	0.430701
20x_Q5_DA10001	25x_PHU_DA10029	0.461289
20x_Q5_DA10016	25x_PHU_DA10029	0.479792
20x_Q5_DA10029	25x_PHU_DA10029	0.140602
20x_Q5_DA10040	25x_PHU_DA10029	0.426106
25x_ACC_DA10001	25x_PHU_DA10029	0.445886
25x_ACC_DA10016	25x_PHU_DA10029	0.519131
25x_ACC_DA10029	25x_PHU_DA10029	0.167659
25x_ACC_DA10040	25x_PHU_DA10029	0.432504
25x_K_DA10001	25x_PHU_DA10029	0.483249
25x_K_DA10016	25x_PHU_DA10029	0.51112
25x_K_DA10029	25x_PHU_DA10029	0.208401
25x_K_DA10040	25x_PHU_DA10029	0.453008
25x_PHU_DA10001	25x_PHU_DA10029	0.450094
25x_PHU_DA10016	25x_PHU_DA10029	0.514116
20x_ACC_DA10040	25x_PHU_DA10040	0.187569
20x_K_DA10001	25x_PHU_DA10040	0.423269
20x_K_DA10040	25x_PHU_DA10040	0.183894
20x_PHU_DA10001	25x_PHU_DA10040	0.385424
20x_PHU_DA10016	25x_PHU_DA10040	0.677438
20x_PHU_DA10029	25x_PHU_DA10040	0.421282
20x_PHU_DA10040	25x_PHU_DA10040	0.162234
20x_PL_DA10001	25x_PHU_DA10040	0.418351
20x_PL_DA10016	25x_PHU_DA10040	0.679914
20x_PL_DA10029	25x_PHU_DA10040	0.43886
20x_PL_DA10040	25x_PHU_DA10040	0.167108
20x_Q5_DA10001	25x_PHU_DA10040	0.393248
20x_Q5_DA10016	25x_PHU_DA10040	0.678825
20x_Q5_DA10029	25x_PHU_DA10040	0.42384
20x_Q5_DA10040	25x_PHU_DA10040	0.153778
25x_ACC_DA10001	25x_PHU_DA10040	0.396872
25x_ACC_DA10016	25x_PHU_DA10040	0.690197
25x_ACC_DA10029	25x_PHU_DA10040	0.45589
25x_ACC_DA10040	25x_PHU_DA10040	0.168584
25x_K_DA10001	25x_PHU_DA10040	0.424875
25x_K_DA10016	25x_PHU_DA10040	0.678815
25x_K_DA10029	25x_PHU_DA10040	0.475528
25x_K_DA10040	25x_PHU_DA10040	0.195498
25x_PHU_DA10001	25x_PHU_DA10040	0.382659
25x_PHU_DA10016	25x_PHU_DA10040	0.683174
25x_PHU_DA10029	25x_PHU_DA10040	0.424989
20x_ACC_DA10040	25x_PL_DA10001	0.351822
20x_K_DA10001	25x_PL_DA10001	0.178835
20x_K_DA10040	25x_PL_DA10001	0.352562
20x_PHU_DA10001	25x_PL_DA10001	0.162294
20x_PHU_DA10016	25x_PL_DA10001	0.610512
20x_PHU_DA10029	25x_PL_DA10001	0.434974
20x_PHU_DA10040	25x_PL_DA10001	0.381406
20x_PL_DA10001	25x_PL_DA10001	0.17513599999999999
20x_PL_DA10016	25x_PL_DA10001	0.605388
20x_PL_DA10029	25x_PL_DA10001	0.447875
20x_PL_DA10040	25x_PL_DA10001	0.354957
20x_Q5_DA10001	25x_PL_DA10001	0.165754
20x_Q5_DA10016	25x_PL_DA10001	0.604195
20x_Q5_DA10029	25x_PL_DA10001	0.453631
20x_Q5_DA10040	25x_PL_DA10001	0.393268
25x_ACC_DA10001	25x_PL_DA10001	0.166664
25x_ACC_DA10016	25x_PL_DA10001	0.61289
25x_ACC_DA10029	25x_PL_DA10001	0.46066
25x_ACC_DA10040	25x_PL_DA10001	0.369181
25x_K_DA10001	25x_PL_DA10001	0.178969
25x_K_DA10016	25x_PL_DA10001	0.60147
25x_K_DA10029	25x_PL_DA10001	0.465479
25x_K_DA10040	25x_PL_DA10001	0.392705
25x_PHU_DA10001	25x_PL_DA10001	0.158076
25x_PHU_DA10016	25x_PL_DA10001	0.609531
25x_PHU_DA10029	25x_PL_DA10001	0.460884
25x_PHU_DA10040	25x_PL_DA10001	0.384042
20x_ACC_DA10040	25x_PL_DA10016	0.68295
20x_K_DA10001	25x_PL_DA10016	0.590484
20x_K_DA10040	25x_PL_DA10016	0.681161
20x_PHU_DA10001	25x_PL_DA10016	0.611367
20x_PHU_DA10016	25x_PL_DA10016	0.145028
20x_PHU_DA10029	25x_PL_DA10016	0.510875
20x_PHU_DA10040	25x_PL_DA10016	0.689459
20x_PL_DA10001	25x_PL_DA10016	0.622667
20x_PL_DA10016	25x_PL_DA10016	0.141958
20x_PL_DA10029	25x_PL_DA10016	0.533631
20x_PL_DA10040	25x_PL_DA10016	0.687411
20x_Q5_DA10001	25x_PL_DA10016	0.624281
20x_Q5_DA10016	25x_PL_DA10016	0.136146
20x_Q5_DA10029	25x_PL_DA10016	0.528166
20x_Q5_DA10040	25x_PL_DA10016	0.693031
25x_ACC_DA10001	25x_PL_DA10016	0.592308
25x_ACC_DA10016	25x_PL_DA10016	0.143412
25x_ACC_DA10029	25x_PL_DA10016	0.486418
25x_ACC_DA10040	25x_PL_DA10016	0.683751
25x_K_DA10001	25x_PL_DA10016	0.611537
25x_K_DA10016	25x_PL_DA10016	0.182343
25x_K_DA10029	25x_PL_DA10016	0.52285
25x_K_DA10040	25x_PL_DA10016	0.683345
25x_PHU_DA10001	25x_PL_DA10016	0.593136
25x_PHU_DA10016	25x_PL_DA10016	0.140105
25x_PHU_DA10029	25x_PL_DA10016	0.507574
25x_PHU_DA10040	25x_PL_DA10016	0.686217
25x_PL_DA10001	25x_PL_DA10016	0.605011
20x_ACC_DA10040	25x_PL_DA10029	0.433536
20x_K_DA10001	25x_PL_DA10029	0.429323
20x_K_DA10040	25x_PL_DA10029	0.420939
20x_PHU_DA10001	25x_PL_DA10029	0.430178
20x_PHU_DA10016	25x_PL_DA10029	0.488548
20x_PHU_DA10029	25x_PL_DA10029	0.121046
20x_PHU_DA10040	25x_PL_DA10029	0.428167
20x_PL_DA10001	25x_PL_DA10029	0.441913
20x_PL_DA10016	25x_PL_DA10029	0.488481
20x_PL_DA10029	25x_PL_DA10029	0.146655
20x_PL_DA10040	25x_PL_DA10029	0.425113
20x_Q5_DA10001	25x_PL_DA10029	0.438617
20x_Q5_DA10016	25x_PL_DA10029	0.481762
20x_Q5_DA10029	25x_PL_DA10029	0.150142
20x_Q5_DA10040	25x_PL_DA10029	0.425997
25x_ACC_DA10001	25x_PL_DA10029	0.418113
25x_ACC_DA10016	25x_PL_DA10029	0.522819
25x_ACC_DA10029	25x_PL_DA10029	0.17009
25x_ACC_DA10040	25x_PL_DA10029	0.425302
25x_K_DA10001	25x_PL_DA10029	0.450897
25x_K_DA10016	25x_PL_DA10029	0.510662
25x_K_DA10029	25x_PL_DA10029	0.178827
25x_K_DA10040	25x_PL_DA10029	0.439005
25x_PHU_DA10001	25x_PL_DA10029	0.42687
25x_PHU_DA10016	25x_PL_DA10029	0.519253
25x_PHU_DA10029	25x_PL_DA10029	0.142012
25x_PHU_DA10040	25x_PL_DA10029	0.423639
25x_PL_DA10001	25x_PL_DA10029	0.437144
25x_PL_DA10016	25x_PL_DA10029	0.506221
20x_ACC_DA10040	25x_PL_DA10040	0.180986
20x_K_DA10001	25x_PL_DA10040	0.406955
20x_K_DA10040	25x_PL_DA10040	0.182246
20x_PHU_DA10001	25x_PL_DA10040	0.375189
20x_PHU_DA10016	25x_PL_DA10040	0.680997
20x_PHU_DA10029	25x_PL_DA10040	0.431158
20x_PHU_DA10040	25x_PL_DA10040	0.177764
20x_PL_DA10001	25x_PL_DA10040	0.40205
20x_PL_DA10016	25x_PL_DA10040	0.680573
20x_PL_DA10029	25x_PL_DA10040	0.438118
20x_PL_DA10040	25x_PL_DA10040	0.16912
20x_Q5_DA10001	25x_PL_DA10040	0.382426
20x_Q5_DA10016	25x_PL_DA10040	0.680006
20x_Q5_DA10029	25x_PL_DA10040	0.431216
20x_Q5_DA10040	25x_PL_DA10040	0.174915
25x_ACC_DA10001	25x_PL_DA10040	0.37957
25x_ACC_DA10016	25x_PL_DA10040	0.689858
